Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland E
Areal series, starting in 1836
Last updated 01-Mar-2022 11:06
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836  131.3   84.6  138.5   66.5   20.5   77.8  147.0   69.7  143.9  112.3  153.7  125.3     ---   225.6   294.5   409.9  1271.2
1837   69.9  108.7   47.6   77.1   49.0   74.0  142.4  107.9   63.5   80.4   74.0   95.1   303.8   173.7   324.3   217.8   989.4
1838   69.5   67.8  100.1   64.4   83.6  162.0   83.9  106.0  108.8   87.2  118.7   66.4   232.4   248.1   351.9   314.7  1118.4
1839   85.6   67.5   97.7   26.7   49.8   87.7   94.1   70.4  167.1  111.3  110.6  140.0   219.5   174.2   252.1   389.0  1108.3
1840  150.0   79.9   25.7   12.8   96.2   82.7   97.0   72.3  110.7   93.5  106.5   49.1   369.9   134.7   252.0   310.6   976.3
1841   80.5   75.3   60.3   45.8   54.9   56.9   98.7  144.8  106.0  172.0   86.1  108.7   204.9   161.0   300.4   364.1  1090.0
1842   87.3   76.0  116.6    5.6   65.7   62.7   70.6   58.7   85.8   66.9  113.5  108.7   272.0   187.8   192.0   266.2   918.0
1843  118.6   52.2   50.2  101.8   95.4   53.0  117.5   83.3   27.1  134.4  120.5   31.2   279.5   247.4   253.9   282.0   985.3
1844   86.3  106.6   80.0   23.9   22.8  104.1   82.5   79.6   76.6   59.9  165.8   46.2   224.1   126.6   266.1   302.4   934.3
1845   85.3   59.9   71.5   46.6   49.9   99.9   82.0  103.0  100.7  169.2  116.8  116.9   191.4   168.0   284.9   386.7  1101.6
1846  101.7   68.8   76.6   96.3   67.7  115.1  157.2  131.9   97.8  184.5   93.6   50.9   287.3   240.6   404.2   375.9  1242.1
1847   59.7   41.4   36.4   63.0  125.9   75.7   74.5   48.9   58.4  156.1  106.5  178.3   152.0   225.3   199.0   321.0  1024.8
1848   67.3  228.4  114.7   68.6   35.4  147.7   91.4   94.7   41.9  142.6  113.9  100.6   474.0   218.7   333.7   298.4  1247.1
1849  163.9   77.3   46.5   66.8   73.0   60.4  106.8   74.0   56.9   70.0  106.7   98.8   341.7   186.3   241.2   233.5  1001.0
1850   84.1  135.1   22.3   76.3   75.6   50.2   61.4  101.2   67.5   79.5  126.3   84.7   318.0   174.2   212.8   273.3   964.2
1851  163.2   54.0  147.1   76.4   24.5   83.2   96.8  102.1   42.8   76.3   50.0   40.0   301.9   248.0   282.1   169.2   956.4
1852  203.6  104.7   18.7   16.6   56.8   99.4   67.6  118.3   71.0  125.8  145.5  260.2   348.3    92.1   285.4   342.3  1288.3
1853  163.9   77.7   46.5   50.7   29.4  101.6  110.4   97.2   71.8  171.5   79.1   50.6   501.7   126.6   309.2   322.5  1050.5
1854  131.3   52.1   48.1   31.1   95.1  101.2   72.2   62.1   42.5  100.7  118.2  110.9   234.1   174.4   235.5   261.4   965.5
1855   44.9   48.9   83.9   43.7   46.4   62.5   93.1  113.1   22.7  112.3   53.1   77.1   204.7   174.0   268.8   188.1   801.8
1856   83.2  111.7    6.2   89.8   83.1  104.0   77.9  105.8  167.3   52.2   60.8  120.7   272.0   179.2   287.8   280.3  1062.9
1857   89.5   44.8  106.0   79.9   56.4   80.4   58.5   54.1  124.7   64.0   95.0   95.3   255.0   242.3   193.0   283.6   948.5
1858   72.6   31.5   51.4   49.4   84.8   54.3  138.4   77.1   80.9  125.3   72.1  122.2   199.4   185.6   269.8   278.3   960.0
1859  114.5   82.3  105.6   99.4    5.7   63.7   71.6   59.0   82.5  144.4  111.9  112.9   319.1   210.7   194.3   338.7  1053.5
1860  118.2   74.5   94.7   30.0   51.4  144.2   65.8  107.2   40.2  112.4  105.7  137.4   305.5   176.1   317.2   258.4  1081.8
1861   75.8   87.7  107.7   33.6   38.8   75.8  109.6  165.7  137.2   82.6  172.9   77.6   300.9   180.2   351.1   392.7  1165.1
1862  145.3   52.3  114.0   71.6   99.9  119.7   91.8  103.7   63.1  147.5   55.6  130.0   275.2   285.5   315.2   266.2  1194.5
1863  150.3   58.5   53.9   82.1   53.0   89.5   17.7  131.5  116.8  104.9   81.9  106.1   338.8   189.0   238.7   303.6  1046.2
1864   75.7   99.0   96.5   39.7   55.8   66.4   71.3   39.6  129.7  174.0  130.3  112.7   280.7   191.9   177.4   434.1  1090.8
1865  104.1   88.7   55.1   24.0   91.1   16.5  102.4  116.4   25.4  156.7   98.9  107.9   305.5   170.1   235.3   281.1   987.2
1866  136.9  127.2  103.7   58.3   40.0   49.9   96.2  114.8  124.2   76.2   96.6  134.6   372.0   202.0   260.9   297.0  1158.5
1867  146.0   76.7   74.3  120.5   82.4   54.2  148.2   82.9   78.9  100.5   25.2   75.3   357.3   277.1   285.3   204.6  1065.0
1868  159.3  124.9  101.1  108.2   66.3   30.5   17.9  156.2  119.8   92.4   75.5  187.7   359.5   275.6   204.7   287.7  1239.8
1869  143.8  105.8   45.1   56.5   43.3   67.6   38.2   37.7  164.0  116.4   86.4  121.3   437.2   144.9   143.5   366.8  1026.0
1870   70.3  115.0   29.8   35.8   72.9   45.8   46.9   50.2   88.3  128.1   73.3  119.9   306.6   138.5   142.9   289.7   876.3
1871   65.9  119.0   58.6  126.1   28.1   60.8  123.3   82.1   77.3  116.3   84.4   88.8   304.8   212.9   266.3   278.0  1030.8
1872  159.2  156.7   89.9   74.1  107.1  143.9   90.8  114.0  170.1  146.2  185.8  162.5   404.7   271.1   348.6   502.1  1600.3
1873  145.9   44.9   60.0   26.8   89.6   49.9  132.5  108.8  124.2  131.8  102.9   84.2   353.3   176.4   291.2   358.9  1101.5
1874   92.2   48.9   77.6   55.8   53.4   40.1   92.2  172.2  100.3  146.5  118.1   77.4   225.3   186.8   304.5   365.0  1074.9
1875  157.6   45.3   57.3   38.4   50.3   81.4   92.1   81.7  125.8  156.2  140.1  111.3   280.3   146.1   255.2   422.1  1137.5
1876   64.7  129.2  131.7   97.1   26.6   82.2   52.3   88.7  109.1  130.5  120.1  262.8   305.3   255.3   223.2   359.6  1294.9
1877  175.0   97.2   68.3   95.9   79.3  118.8  114.1  194.9   68.7  147.8  159.1  103.4   534.9   243.5   427.7   375.7  1422.4
1878   85.3   46.1   56.2   48.3   97.2   79.2   23.4  152.1  113.5  122.6  109.9   87.3   234.8   201.7   254.7   346.0  1021.1
1879   55.9   82.1   96.9   73.4   70.4  120.7  122.6  137.5   85.9   43.9   68.0   59.1   225.3   240.7   380.8   197.9  1016.5
1880   50.2  115.2   61.9   94.8   30.4   63.1  118.4   25.6   94.0   74.5  132.6   96.4   224.5   187.1   207.1   301.1   957.0
1881   36.6  101.9   84.0   31.8   71.6   83.2  104.2  121.8   94.3  123.4  146.0   82.9   234.9   187.3   309.2   363.8  1081.6
1882   82.3   83.8  110.9  102.1   65.4  115.9  130.0   70.5   90.1  113.2  141.0  154.8   248.9   278.4   316.4   344.4  1260.1
1883  129.3  126.5   87.8   52.2   50.5   70.1  139.3  114.3  102.4  102.0  105.4   81.7   410.6   190.5   323.7   309.7  1161.5
1884  154.9  106.1  104.4   45.9   73.0   24.7  134.6   69.9   73.5   98.3  100.5  114.3   342.8   223.4   229.2   272.4  1100.3
1885   80.7  120.3   67.3   73.4  105.6   30.5   38.7   90.3  142.2   88.5   80.2   69.2   315.3   246.3   159.5   310.9   986.9
1886  119.2   48.2  102.6   53.9  110.8   38.5   97.3   47.1  103.7  126.3  100.1  102.7   236.7   267.4   183.0   330.0  1050.6
1887   82.2   60.0   54.5   57.3   35.4   21.9   70.0   76.3  110.6   60.3  112.0   83.5   245.0   147.2   168.2   282.8   823.9
1888   83.6   42.1  109.2   59.8   70.8   78.4  140.8   73.4   31.2   84.2  188.5   85.9   209.2   239.8   292.6   303.9  1047.9
1889   55.7   77.8   55.9  110.8   64.7   26.7   85.7  164.9   35.2  118.3   45.7   74.9   219.5   231.4   277.3   199.3   916.4
1890  161.5   37.6   87.1   40.7   60.8   92.7   96.4  103.2   82.1  106.5  176.7   54.1   274.0   188.7   292.3   365.3  1099.6
1891   64.5   18.0   95.9   40.7   66.2   27.3   96.0  158.0  143.6  116.2  113.2  146.2   136.6   202.8   281.3   372.9  1085.7
1892   88.2   70.2   35.7   31.1   92.8   90.7   68.0  142.0   92.8  159.5   86.1   47.0   304.5   159.6   300.8   338.4  1004.1
1893   65.0  119.8   31.9   34.5   45.5   72.7   85.9  100.5   80.3   95.3   92.5  112.5   231.7   111.9   259.1   268.2   936.4
1894  142.7  202.3   69.4   42.1  107.5   68.5   98.7  146.1   20.1  101.3   84.0   96.1   457.5   219.0   313.3   205.4  1178.8
1895   95.9   33.9  103.4   53.0   22.5   70.3  124.3  148.6   39.7  124.1  128.0  130.2   225.9   178.9   343.2   291.8  1073.9
1896   51.0   40.1   87.5   45.5   26.7   90.4  105.4   61.1  138.2  135.9   40.1  179.4   221.2   159.6   256.9   314.3  1001.1
1897   58.6   62.9  154.0   61.1   57.0  127.5   58.2  142.8   74.4   69.0   82.1  141.5   300.8   272.2   328.5   225.5  1089.2
1898   58.3   76.9   50.0  125.0   65.6   53.8   33.5   98.9   86.4  146.8  142.0  139.8   276.7   240.7   186.2   375.3  1077.1
1899  136.0   80.1   86.8  110.6   93.5   47.1   90.3   32.0  116.7   67.5  127.1  120.1   355.9   290.9   169.5   311.3  1107.8
1900  131.9  114.4   52.7   68.2   73.0   94.4  104.0  121.9   78.8  125.5  137.2  171.8   366.4   193.9   320.2   341.4  1273.6
1901   81.2   61.9   75.1   75.5   62.7   73.4   56.1  111.5   70.3   96.0   83.4  132.3   314.9   213.3   241.0   249.7   979.4
1902   66.8   40.8   58.9   69.6   80.7   62.8   88.0   78.4   64.3   67.0  105.0  145.5   239.8   209.2   229.2   236.3   927.8
1903  163.5  156.1  161.1   54.6   54.4   58.5  139.1  139.5   92.6  212.4   73.2   92.9   465.2   270.1   337.2   378.3  1398.1
1904   87.0  110.8   64.3   93.9   80.4   52.0   56.1  122.8   79.6   44.3   49.9   98.6   290.7   238.6   230.8   173.8   939.5
1905   45.8   60.9  127.6   79.9   49.4   37.1   63.7  114.9   67.4  100.3  170.3   63.4   205.3   257.0   215.6   337.9   980.5
1906  113.7   68.3   75.7   44.7  159.5   36.6   57.8  142.9   42.0  171.2  146.0   85.2   245.4   279.9   237.4   359.2  1143.7
1907   56.8   71.6   70.4   72.7  116.5  124.6   69.6  114.0   34.9  163.5   74.9  121.0   213.7   259.6   308.2   273.3  1090.5
1908   88.7   65.3  139.9   53.2   60.8   48.8   86.1   81.9  136.8   65.5   75.1   81.4   275.0   253.9   216.8   277.4   983.5
1909   97.2   43.7  137.2  105.8   83.6   49.2   94.0   68.0   60.2  153.5   54.8  114.8   222.3   326.7   211.3   268.5  1062.2
1910  106.4  111.5   63.2  107.3   53.5   48.0  114.8  179.1   30.7   82.6  127.1  119.7   332.7   223.9   341.8   240.5  1143.8
1911   51.4   97.2   59.3   68.1   54.4   74.8   55.0   57.3   39.8   88.5  169.6  185.1   268.2   181.8   187.1   297.8  1000.4
1912  127.9   92.1   99.8   25.5   54.7  110.3   65.1  138.8   78.2  124.4   94.8  161.7   405.1   180.1   314.2   297.4  1173.4
1913  128.5   58.6  148.6   90.8  110.5   69.0   22.8   40.4   78.9   69.4   93.3   80.0   348.8   349.8   132.3   241.6   990.8
1914   77.4  121.5  124.5   47.8   68.1   41.3   85.3   75.0   39.7   67.8  153.0  212.0   279.0   240.5   201.6   260.5  1113.5
1915   93.1  167.5   66.0   57.6   37.4   42.0  114.1   94.7   74.3  106.0   86.2  197.7   472.6   160.9   250.8   266.5  1136.5
1916  122.1  123.4   92.9   84.9  112.8   95.1  138.9  107.5   49.7  180.0  157.4  125.6   443.2   290.6   341.5   387.0  1390.3
1917   76.1   28.1   65.0   57.8   65.4   62.4   50.0  161.6   62.1  137.3  129.6   54.4   229.8   188.2   274.0   329.0   949.8
1918   98.1  109.0   37.9   28.3   78.3   35.2  134.9   78.7  147.2  118.9   90.6   88.3   261.5   144.5   248.9   356.8  1045.5
1919  110.8   46.1   85.8   83.4   32.7   60.3   24.2   70.1   82.9   71.3  151.9  162.9   245.2   201.9   154.5   306.1   982.3
1920  121.2  106.8  110.0   72.2  106.8   33.2   93.7  113.5   66.3   91.3   98.0  121.9   390.9   289.1   240.3   255.7  1134.8
