Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland N
Areal series, starting in 1836
Last updated 01-Mar-2022 11:06
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836  157.6  106.9  143.2  107.1   20.2   76.6  107.8   81.2  152.9  211.1  175.6  212.1     ---   270.5   265.6   539.6  1552.2
1837   44.9  147.9   48.4   67.0   47.3   73.7  109.8  100.3   90.4  136.3  163.0  102.1   404.9   162.6   283.8   389.7  1131.0
1838   41.6   39.6  104.9   82.8   57.4  147.9  119.4  140.3   91.4  114.4  126.8  135.0   183.3   245.1   407.6   332.5  1201.3
1839  138.4   91.9  112.1   44.0   66.2   55.5   64.0   77.5  190.7  123.6   90.9  128.0   365.3   222.4   197.0   405.2  1182.8
1840  170.1   62.1   28.5   53.6  121.5   93.8   82.4   85.5  171.9  137.6  115.3   89.0   360.2   203.7   261.8   424.8  1211.5
1841  115.8   49.2   85.4   80.2   80.2   65.8   99.2  150.8   99.4  181.8  106.2  204.1   254.0   245.8   315.9   387.3  1318.0
1842   81.3  115.3  172.7    7.4   66.8   96.6   71.3  104.5  122.2  136.7  113.6  186.4   400.8   246.9   272.3   372.5  1274.7
1843  214.6   33.6   70.0  119.6   72.1   34.9  116.4   93.8   43.8  219.9  167.7  106.4   434.6   261.7   245.1   431.4  1293.0
1844  135.5  135.5  127.3   65.6   24.9  101.0   70.4  116.4   70.0  102.9  213.4   43.3   377.4   217.8   287.7   386.3  1206.1
1845  122.9   83.1  115.1   37.2   50.0   77.3   87.4  117.4  107.4  220.4  149.2  247.9   249.3   202.3   282.0   477.0  1415.3
1846  120.8  124.4  121.0   90.6   46.1  118.1  126.4  154.2   73.9  207.4  133.5  101.3   493.1   257.8   398.7   414.9  1417.9
1847   38.9   80.8   40.5  116.9   85.4   99.8   91.8  106.3  142.8  169.3  179.3  197.6   221.1   242.8   297.9   491.4  1349.5
1848   84.3  287.8  117.6   76.2   58.0  137.3  121.4   91.0   41.7  134.8  185.6  101.8   569.7   251.8   349.6   362.0  1437.3
1849  238.2  184.9   84.6   53.9   47.3   95.5  128.1   99.1  100.2  100.0  130.8   86.6   524.9   185.7   322.7   330.9  1349.2
1850   85.0  201.1   71.4   58.8   83.6   84.6   63.5  153.6   96.8  181.3  197.7  179.3   372.8   213.9   301.7   475.8  1456.8
1851  156.0   86.8  148.6   56.7   53.2   90.4   94.7   96.4   33.6  134.9   81.3  107.6   422.1   258.5   281.5   249.9  1140.1
1852  255.1  142.5   20.4   12.8   66.2   92.6  106.1   86.7   87.2  108.8  163.4  308.3   505.2    99.4   285.4   359.4  1450.1
1853  193.9   83.3   50.0   94.7   25.9   89.2  107.6   85.1  131.8  194.2  110.7   40.5   585.4   170.7   281.9   436.7  1206.9
1854  160.6  146.1  117.7   58.8  100.4   91.0   96.8  105.5  108.3  197.7  130.2  243.2   347.3   276.9   293.3   436.2  1556.5
1855   76.8   30.4  102.6  105.8   39.2   74.7  122.6  111.4   54.1  146.0   48.3  139.3   350.3   247.6   308.7   248.5  1051.2
1856   72.1  126.7    6.9   61.6   53.7  158.2  146.7   57.4  135.2   48.7  117.8  166.7   338.2   122.1   362.3   301.7  1151.7
1857  156.2   95.8  114.5   58.9   46.8   63.4  109.7   74.8  130.0   98.4  100.8  206.8   418.7   220.3   247.9   329.1  1256.1
1858  172.6   44.8  111.9   50.9   92.7   91.1  146.0   77.3   91.0  142.8   55.4  142.0   424.1   255.6   314.4   289.2  1218.5
1859  187.2  157.4  185.1  115.8   10.3   54.9   80.4  101.4  132.2  185.9  113.3  162.4   486.7   311.1   236.7   431.4  1486.2
1860   95.5   95.8  159.2   60.4   85.5   99.7   63.0  128.1   99.5  225.6   71.1   77.2   353.6   305.2   290.8   396.2  1260.6
1861   99.6  113.1  205.3   29.0   65.3   71.2  136.0  213.0  185.5  108.2  259.1  123.5   290.0   299.6   420.2   552.8  1608.7
1862  151.5   72.1  100.3  102.2  120.3  141.4  135.6  103.1   80.7  245.6  113.9  188.6   347.1   322.8   380.0   440.3  1555.3
1863  274.1  148.3   96.0  156.0   85.4   97.2   34.8  188.4  235.4  132.4  154.3  259.2   611.0   337.3   320.4   522.2  1861.4
1864  102.7  171.2  135.7   63.5   71.9  111.6   86.6   85.6  183.8  165.5  135.6  173.2   533.0   271.1   283.8   484.9  1486.9
1865  172.0   89.8  100.2   51.2   71.4   33.8  108.7  113.6   80.7  128.1  106.5  140.2   435.0   222.8   256.2   315.3  1196.2
1866  206.7  188.4   96.2   59.7   54.1   53.7   78.1  130.7  148.4  103.8  207.1  247.8   535.2   209.9   262.6   459.3  1574.6
1867  137.7  151.1   67.6  168.1   60.9   96.2   84.6   90.2  134.6  192.9   67.3  170.4   536.6   296.7   270.9   394.7  1421.4
1868  255.2  307.9  177.0   97.4   90.3   99.9   35.1  227.3   79.6  186.3  114.6  174.6   733.5   364.7   362.2   380.6  1845.3
1869  156.0  203.3   81.9   86.5   44.4   59.1   79.7   70.6  201.7  161.1  237.8  178.4   533.9   212.8   209.4   600.5  1560.5
1870   97.0   84.5   46.9  126.4   80.2   63.1   76.5   55.5  133.6  138.3  117.3  134.0   359.8   253.5   195.1   389.2  1153.2
1871  104.0  130.2  114.4   72.7   44.8   43.1  159.9  107.5   94.9  131.3   97.4  154.6   368.2   231.9   310.5   323.6  1254.9
1872  201.7  103.3   71.2   99.7  111.5  175.9  111.0  108.2  196.2  202.2  189.5  137.6   459.6   282.4   395.2   587.9  1708.2
1873  189.2   46.6   68.7   62.5   92.6   96.3  142.1  152.6  158.0  202.7  144.9  215.7   373.4   223.8   391.0   505.6  1571.9
1874  205.7   62.0  170.3  115.8   70.7   86.5  108.3  173.8  189.1  248.1  147.1  100.9   483.4   356.8   368.5   584.3  1678.2
1875  172.5   64.5   65.5   69.9  112.3   81.2  116.3  142.0  106.7  124.0  137.6  157.8   337.9   247.7   339.5   368.2  1350.2
1876  138.3  138.6  211.3   97.5   52.3  102.3   92.1   94.2  104.0  138.0   95.5  133.2   434.7   361.2   288.7   337.5  1397.5
1877  153.5  183.6  100.3   56.8   94.7  176.9  133.7  133.2   89.4  209.6  241.7  196.3   470.2   251.8   443.8   540.7  1769.8
1878  151.0   77.6  138.9   36.8   98.2   73.5   70.3  105.2  190.4  172.5  165.1  115.9   425.0   273.9   248.9   528.0  1395.4
1879   63.3   61.4  120.3   47.5   84.2   80.5  146.4  146.2  148.7  105.6  101.1  127.1   240.6   252.1   373.0   355.4  1232.2
1880  119.2  166.4   75.7   97.5   61.6   86.7  121.9   37.9  100.9  118.2  183.8  159.1   412.7   234.8   246.5   402.9  1329.0
1881   38.0   95.3  112.8   56.9   81.6  105.3  158.7  110.1   70.3  116.5  179.6  161.3   292.4   251.3   374.1   366.4  1286.3
1882  155.0  142.8  212.8   95.4   71.6  114.3  131.8  108.1  137.2   85.6  174.0  159.7   459.1   379.8   354.1   396.8  1588.3
1883  127.4  143.5   94.6   57.3   94.1   60.1  118.8  162.2  113.9  173.1  200.0  192.7   430.6   246.0   341.1   487.0  1537.7
1884  226.1  129.6  108.3   39.3  121.7   56.5  106.3  111.8   98.4  203.2  204.5  193.8   548.3   269.3   274.5   506.1  1599.4
1885  101.1  171.0  107.6   57.8  110.7   89.6   68.7   65.0  204.8  166.8  107.5  209.3   465.8   276.1   223.3   479.1  1459.8
1886  162.3   76.3   70.5   84.4   95.8   76.2  111.4   86.7  122.6  107.4  163.2  181.3   447.9   250.8   274.3   393.3  1338.3
1887  170.3  136.4   64.6   88.8   54.8   48.7  119.2  104.8  117.2  129.4  118.3  141.9   488.0   208.2   272.7   364.9  1294.4
1888  124.6   84.3  109.2   95.2  103.8   70.4   97.8  120.2   65.3  194.4  195.3  110.8   350.8   308.2   288.4   455.0  1371.4
1889  128.8  174.0  118.6   82.6   52.8   24.3   48.8  181.1   94.5  100.2  124.8  157.4   413.7   254.0   254.2   319.5  1287.9
1890  264.6   37.7  173.7   79.0   48.9  121.2  139.7  152.2  105.4  263.2  178.3   38.3   459.7   301.6   413.2   546.8  1602.2
1891  139.3  122.7  119.4   31.2   90.2   61.4  141.3  156.9  161.8  142.8  127.3  191.0   300.3   240.9   359.7   431.8  1485.4
1892  187.6   96.8   52.3   60.9  118.1   90.6   94.8  142.5  195.5  170.3  131.3  115.4   475.4   231.3   327.9   497.2  1456.1
1893  124.9  139.6   92.0   52.3   60.3   46.6  113.8  135.1  203.8  221.0  190.0  248.1   379.8   204.6   295.5   614.8  1627.5
1894  180.9  253.1  162.9   26.9   99.7   66.6  140.8  168.6   18.3   69.2  147.8  169.6   682.2   289.6   376.1   235.3  1504.6
1895   98.3   31.2  136.2  101.7   49.3   94.7  123.0  153.3  106.8  175.5  128.7  150.1   299.1   287.2   371.0   411.0  1348.8
1896  153.5   90.1  184.0  116.7   46.2  118.8  102.1  136.8  159.4  188.3   90.0  140.5   393.6   346.9   357.6   437.7  1526.3
1897   57.6  104.1  161.5   70.6   87.9   65.5   93.7  104.5  152.0  107.8  122.2  189.9   302.3   319.9   263.7   382.0  1317.3
1898  167.0  207.7  142.6  107.8   99.6   90.8   77.5  137.2  149.5  120.3  171.4  323.6   564.6   350.0   305.6   441.2  1795.1
1899  149.5   77.8  132.6  139.1   81.8   58.8   96.9   55.7  212.8  144.3  203.2  139.8   551.0   353.5   211.4   560.3  1492.4
1900  195.1   81.5   62.0  123.9   86.1   79.0  134.0  127.3  151.2  179.7  133.2  285.6   416.4   272.0   340.3   464.1  1638.6
1901  116.2  100.8  106.3   93.3   40.1  110.0   79.0  127.7   78.7  155.4  121.9  185.4   502.6   239.7   316.6   356.0  1314.8
1902  144.4   52.8  155.6   68.5  100.5   64.2   91.6   96.3  104.0  130.8   73.4  176.5   382.6   324.7   252.1   308.2  1258.7
1903  208.2  218.5  212.1  100.0   75.8   65.4  153.8  217.9  104.5  239.5  176.2   88.7   603.3   387.8   437.1   520.1  1860.5
1904  148.9  120.3   63.4  208.7   98.4   81.9   56.1  149.8  116.4  119.9  129.0  171.7   357.9   370.6   287.8   365.3  1464.6
1905  160.8  172.7  164.5   90.8   71.1   46.8   86.2  132.8  133.8  155.3  156.6  127.5   505.2   326.4   265.8   445.7  1498.8
1906  203.8  155.5  128.7   95.2  125.6   36.7  124.6  125.3   79.4  151.9  205.8  179.9   486.8   349.5   286.7   437.0  1612.5
1907  150.6  149.4  134.7   81.3   84.1  151.7   74.1  159.9   51.4   84.7  125.5  138.8   479.9   300.0   385.7   261.6  1386.2
1908  152.6  168.0  163.9   78.4   76.8   89.0   66.7  105.7  182.9   52.5  155.0  154.1   459.4   319.2   261.4   390.4  1445.7
1909  165.8   79.3   69.0   92.7   90.3   47.6  113.3  108.2   73.5  204.2  159.0  130.2   399.2   252.0   269.0   436.7  1333.0
1910  183.3  141.4   96.9  188.9  103.8   56.7  103.5  160.2   56.0   96.8  176.5  151.1   454.8   389.6   320.4   329.4  1515.1
1911  116.7  183.4   95.8  127.2   78.4   92.0  116.5  100.6  119.8   83.1  204.7  178.3   451.2   301.4   309.1   407.6  1496.6
1912  105.5  110.6  138.3  132.6   84.4  106.0   79.8  156.7   69.3  150.4  206.6  272.1   394.4   355.3   342.6   426.3  1612.4
1913   93.4  116.1  177.3  100.3   93.9  123.4   39.7   51.1   80.9  126.2  230.8  184.9   481.6   371.6   214.3   437.9  1418.1
1914  168.4  157.9  125.1  116.3  103.9   59.9  105.7  106.8  107.8   62.4  211.7  211.2   511.2   345.3   272.4   382.0  1537.1
1915  171.6  131.6  122.3  154.0   34.9   25.1  125.4   92.0  119.7   52.0  127.8  163.1   514.4   311.2   242.5   299.5  1319.4
1916  260.5  171.3   78.3  101.7  116.8  106.3   91.2   70.3   66.7  229.7  172.3  135.6   594.8   296.8   267.8   468.7  1600.7
1917  132.1   41.3   96.2   96.7   59.3  100.4   51.6  148.7  159.4  276.1  281.0  110.3   309.1   252.2   300.6   716.4  1553.0
1918  130.6  186.2   57.0   50.2   64.6   89.2  166.8  163.8  178.0  168.7  152.3  165.0   427.1   171.8   419.8   499.0  1572.4
1919  110.6   45.3  120.5  170.2   26.9  144.9   42.6  139.4  166.2  109.6  169.8  164.2   321.0   317.6   326.9   445.6  1410.4
1920  233.2  233.3  155.1   93.5  123.9   45.4  104.9   86.5  109.9   51.4  180.9  119.5   630.8   372.5   236.8   342.2  1537.5
1921  262.9   74.6  187.4   58.9  108.1   49.2   92.6  100.5  107.9  163.7   64.8  273.7   457.0   354.4   242.4   336.4  1544.5
1922  139.9  158.7   93.4  107.8  159.9   79.0  102.5  116.8   75.9   75.6  121.8  175.0   572.3   361.1   298.3   273.3  1406.3
1923  247.1  107.1   39.9   93.2  136.3   85.9  125.1  176.6  161.2  231.1  170.1  161.0   529.1   269.5   387.5   562.3  1734.5
1924  121.0  101.0   52.8   81.7   96.6   99.6  136.5  152.0  179.9  120.7   99.4  235.2   383.0   231.1   388.1   400.0  1476.4
1925  172.9  172.2  116.1  129.3  130.7   42.9   79.2   76.3  134.4  128.9   69.0  164.8   580.3   376.1   198.4   332.3  1416.6
1926  179.1   98.9  177.9   85.5   89.2   75.1   76.6  117.1  138.0  178.8  156.0  163.6   442.9   352.6   268.8   472.8  1535.9
1927  227.8   70.6   96.6  194.6   79.0  128.2   89.4  102.7  174.1  191.7  158.3   25.0   462.0   370.2   320.3   524.1  1538.1
1928  286.4  177.3   99.7   69.3   52.9  113.7  113.0  113.7  110.0  175.5  209.9  160.0   488.7   221.9   340.4   495.5  1681.3
1929   50.0   32.9   33.2   76.5   84.2   98.8   87.7  168.9  140.4  240.8  165.6  235.1   242.9   193.8   355.4   546.8  1414.0
1930  212.0   30.0   88.3   59.8   80.8   91.2   73.5  190.5  106.5  222.1  204.3  139.6   477.1   228.9   355.2   532.9  1498.5
1931  196.7  174.0   40.5   98.4  116.4  118.5  133.7   51.3   55.1  142.9  138.2  190.0   510.3   255.2   303.5   336.1  1455.6
1932  267.1   22.0   97.8  153.4   82.0   29.8  132.7  105.3  161.7  193.0  187.9  147.9   479.1   333.3   267.8   542.5  1580.6
1933  167.5  135.8   65.1  118.5   41.4   71.6   98.4  144.8   35.3  181.7   80.6   40.6   451.2   225.0   314.8   297.6  1181.3
1934  199.9   84.6  110.2  166.6  105.1   58.0  145.3  142.6  144.4  235.7   81.7  135.7   325.1   381.9   345.9   461.8  1609.9
1935  155.7  191.1  106.7   91.1   47.0  102.2   87.1  136.8  208.8  276.4  127.6  102.7   482.5   244.8   326.1   612.7  1633.2
1936  117.8   71.9   62.3   58.2   48.9   42.8  149.3   99.0  102.5  189.2  111.8  248.0   292.4   169.4   291.1   403.4  1301.6
1937  197.1  143.8   68.7   36.7   60.9   86.0  101.1  102.9  117.2   82.5   51.1   63.5   588.9   166.3   290.0   250.8  1111.5
1938  242.9  144.3  204.6   45.2   96.4  157.9  150.9  103.9  125.3  276.0  247.6  143.1   450.8   346.3   412.7   648.9  1938.3
