Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland W
Areal series, starting in 1836
Last updated 01-Mar-2022 11:06
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836  207.4   93.6  159.2   99.2    7.3  113.9  212.9  121.4  179.4  130.6  179.4  191.2     ---   265.7   448.2   489.4  1695.6
1837   98.1  151.2   52.6   65.8   58.7   76.5  112.1  105.9   82.3  171.2  167.1  161.4   440.6   177.2   294.5   420.5  1303.0
1838   37.1   28.7  113.2   64.3   51.2  160.5  142.3  141.0  101.3  141.0  108.8  107.2   227.2   228.8   443.8   351.1  1196.6
1839  110.6  113.7  127.8   47.1   53.6   78.1  113.5  114.0  203.1  143.4   93.7  121.8   331.6   228.5   305.6   440.2  1320.5
1840  191.3   94.7   13.9   25.6   93.3  112.4  132.8  128.0  162.4   61.0  109.2   70.6   407.8   132.8   373.2   332.5  1195.2
1841   93.6  104.9  116.0   87.6   85.7   79.8   97.7  167.1  119.2  178.0  105.5  179.2   269.1   289.4   344.6   402.7  1414.3
1842  113.9  129.5  174.6    6.2   83.0   84.7   93.6   80.8   72.9   56.6   91.4  206.9   422.6   263.8   259.1   220.9  1194.1
1843  176.1   43.5   56.9  134.5   79.9   69.9  140.1  116.2   50.5  214.6  176.2   81.4   426.5   271.3   326.2   441.3  1339.8
1844  125.0  130.6  128.8   65.0    9.2  128.8  107.0   81.3   72.3   82.9  103.7   29.1   337.0   203.0   317.1   258.9  1063.7
1845  154.2   74.5   97.2   76.1   39.7  114.1   90.5   84.7  127.3  236.4  189.1  207.1   257.8   213.0   289.3   552.7  1490.8
1846  178.9  115.6  149.2   64.3   67.3  137.0  214.5  161.4   89.6  176.1  148.9   62.7   501.6   280.9   512.9   414.5  1565.5
1847   84.9   71.7   47.0   94.8  104.6   79.3   64.8   88.6  123.7  194.1  195.6  205.5   219.3   246.4   232.6   513.5  1354.6
1848   95.3  262.8  124.1   51.1   53.5  122.2  140.9  116.1   57.3  133.5  171.3  153.1   563.6   228.7   379.2   362.0  1481.1
1849  243.9  131.5   53.5   84.1   97.4   56.6  131.2  109.5   61.4  117.6  194.9   80.2   528.6   235.0   297.3   373.9  1361.9
1850   90.8  235.4   50.3  119.2   67.6   84.0  114.5  155.1   91.8  118.8  180.8  148.9   406.4   237.0   353.6   391.4  1457.1
1851  241.7  128.8  151.1   62.9   31.4  122.7  139.8  144.6   42.9  138.6   53.0   89.3   519.4   245.5   407.2   234.5  1347.0
1852  288.2  158.3   25.1   28.2   85.7  108.0  140.5  126.6   48.7   81.8  187.9  357.6   535.9   139.0   375.1   318.4  1636.7
1853  220.3   57.8   38.7   81.3   17.7   97.8  159.6   92.8  106.3  185.9  134.1   25.2   635.8   137.7   350.2   426.3  1217.6
1854  153.5  115.8   90.0   34.6  107.6  137.4   98.1  106.8   88.0  169.3   95.2  232.2   294.5   232.1   342.4   352.6  1428.6
1855   33.0   28.6   96.9   74.0   53.2   85.1   87.9  141.5   47.3  186.8   56.2   97.2   293.8   224.1   314.5   290.4   987.7
1856   84.4  141.0   13.5   64.1   91.5  170.3  107.7  128.7   88.3   81.0   65.9  198.0   322.6   169.0   406.7   235.3  1234.4
1857  144.1   99.0  110.2   84.2   67.4   80.3   93.3   63.0  100.0  111.4  103.5  200.4   441.0   261.8   236.6   314.9  1256.7
1858  145.0   42.5   73.4  105.0  127.3  116.2  133.5  111.9  124.1  177.6   58.9  192.3   387.9   305.7   361.6   360.6  1407.7
1859  194.5  161.1  188.0  124.8   12.5   56.7   94.1  128.3  168.8  105.3  126.3  133.7   547.9   325.3   279.1   400.4  1494.0
1860  187.3  126.0  152.2   51.6   99.2  137.0   66.9  141.9   70.1  216.9   64.3   86.0   447.0   303.0   345.8   351.2  1399.3
1861  145.4  139.0  203.1   17.8   44.8   87.4  132.8  257.3  174.8  136.0  212.3  127.2   370.5   265.7   477.5   523.2  1678.1
1862  197.4   60.9  108.3  128.7  135.4  121.3  158.7  114.0   74.5  271.2   87.3  233.9   385.5   372.4   394.0   432.9  1691.6
1863  251.7  140.4   79.7  139.7   97.7  124.6   17.8  149.3  193.1  155.4  158.8  222.0   626.0   317.1   291.7   507.3  1730.2
1864  142.3  111.1  144.3   77.8   52.8  111.5   95.0   76.7  208.9  110.5  152.3  160.4   475.4   275.0   283.1   471.6  1443.4
1865  152.6  115.5   76.2   36.3  125.9   33.3   96.2  158.2   52.8  135.1  131.0  162.3   428.4   238.4   287.7   318.9  1275.4
1866  288.5  176.8  108.0   63.8   50.4   75.1  100.2  173.7  206.3  114.8  168.8  232.0   627.7   222.1   349.0   489.9  1758.4
1867  140.9  152.4   63.9  197.7   76.9   74.4  127.7  127.2  138.3  197.5   50.4  138.6   525.4   338.6   329.3   386.2  1486.0
1868  229.3  252.0  213.2  115.3  116.8   57.2   32.0  189.9   69.3  191.4  124.7  266.0   620.0   445.3   279.2   385.5  1857.3
1869  202.4  198.5   41.3   69.7   29.7   58.0   80.3   42.7  229.1   85.3  205.7  225.6   666.9   140.7   181.1   520.2  1468.5
1870  126.1  146.0   47.3   74.8  130.3   69.7   81.6   54.6  124.4  214.2   77.6   89.1   497.7   252.4   205.9   416.3  1235.7
1871  138.2  189.9  130.7  118.4   36.6   68.5  144.7  125.1   66.7  138.9  128.0  199.3   417.2   285.7   338.3   333.5  1485.1
1872  280.6  176.5  119.1   52.2   95.8  210.7  124.3  148.5  222.0  158.6  211.5  225.5   656.4   267.1   483.5   592.0  2025.1
1873  264.7   32.6   85.6   17.7   79.3   73.4  183.9  172.3  139.9  228.8  122.1  137.9   522.7   182.6   429.6   490.8  1538.2
1874  181.7   77.3  147.0  100.9   51.0   45.7  109.4  178.7  193.1  280.2  170.1   84.9   396.9   298.8   333.8   643.3  1619.8
1875  235.1   57.6   64.2   55.1   93.9  107.5   67.2  133.4  154.6  161.5  155.3  153.8   377.6   213.1   308.1   471.4  1439.1
1876  126.1  162.2  184.9   70.7   25.5  130.0  100.3  147.4   93.5  201.3   92.4  216.4   442.2   281.0   377.8   387.1  1550.8
1877  287.6  185.5   92.8   91.4   91.9  150.9  146.0  181.6   79.0  230.9  298.1  235.0   689.6   276.0   478.5   607.9  2070.5
1878  183.6   90.3   87.4   80.8  111.6   89.5   32.3  117.0  174.5  189.6   66.2   69.7   509.0   279.8   238.8   430.3  1292.6
1879   56.3   79.3  122.3   52.8   73.8  141.6  165.7  165.2  210.5   85.7   55.2  110.1   205.3   248.9   472.5   351.4  1318.6
1880   93.6  166.8   90.5  125.5   50.0   74.9  105.9   38.7  114.6   35.2  183.1  154.8   370.5   266.0   219.5   332.9  1233.6
