Station,LONG,LAT,ALT,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aberporth,-4.56999,52.13914,133,75.14166667,80.55,80.46666667,67.45,66.69166667,73.1,73.375,75.91666667,62.98333333,83.04166667,54.6,60.75,74.38333333,61.21666667,81.3,68.94166667,78.54166667,76.46666667,68.475,71.05833333,72.58333333,73.74166667,70.975,74.84166667,65.35833333,62.64166667,64.125,76.125,82.26666667,87.58333333,69.06666667,57.74166667,74.3,80.86666667,79.54166667,92.55,74.95,87.71666667,59.01666667,74.45833333,68.56666667,71.63333333,74.36666667,85.44166667,84.16666667,59.48333333,61.38333333,96.06666667,72.79166667,87.16666667,84.85
Armagh,-6.64866,54.35234,62,74.725,86.09166667,75.375,64.73333333,65.04166667,73.59166667,57.83333333,62.675,60.53333333,70.30833333,48.825,62.36666667,65.71666667,64.475,72.10833333,70.69166667,76.925,71.84166667,58.75833333,69.80833333,63.7,71.88333333,61.01666667,73.35,55.45833333,73.64166667,56.64166667,69.725,73.76666667,68.16666667,64.925,62.66666667,63.54166667,70.85833333,73.04166667,73.28333333,53.9,89.2,56.96666667,66.61666667,61.59166667,68.99166667,68.53333333,71.43333333,74.29166667,66.21666667,72.65833333,71.09166667,71.11666667,80.21666667,79.59166667
Bradford,-1.77234,53.81341,134,84.93333333,92.66666667,81.30833333,87.35,77.525,71.30833333,57.85833333,70.76666667,61.25833333,76.15,53.80833333,70.125,73.9,72.48333333,81.56666667,83.04166667,76.65,72.56666667,84.125,73.73333333,60.14166667,82.45,66.03333333,77.075,58.94166667,72.20833333,67.51666667,69.24166667,79.325,80.55,53.90833333,66.26666667,64.94166667,86.90833333,80.93333333,95.20833333,65.275,90.35,52.925,72.25,60.50833333,66.95,83.51666667,92.23333333,70.83333333,58.475,55.25,102.7583333,62.33333333,86.11666667,92.36666667
Braemar,-3.39635,57.00612,327,63.33333333,78.75,79.59166667,67,64.69166667,76.91666667,55.75,67.5,56.525,85.225,63.125,72.29166667,78.59166667,76.99166667,76.33333333,73.33333333,69.75,109.2583333,78.94166667,87.71666667,82.35833333,80.71666667,61.63333333,79.29166667,64.86666667,83.23333333,74.25,72.41666667,80.75833333,75.33333333,80.84166667,64.53333333,67.70833333,84.54166667,80.73333333,97.08333333,69.31666667,93.03333333,51.13333333,78.15,78.94166667,75.275,77.3,78.55,77.38333333,68.66666667,89.45,67.675,71.23333333,104.1833333,89.71666667
Cambridge,0.10196,52.24501,26,49.64166667,50.625,49.3,48.80833333,44.375,50.525,45.18333333,33.61666667,34.36666667,52.35833333,42.6,41.525,44.55,46.33333333,52.35833333,40.96666667,47.54166667,57.20833333,48.34166667,52.85833333,42.80833333,48.1,51.49166667,49.08333333,43.175,33.99166667,37.525,55.06666667,56.25833333,45.65,41.34166667,31.45833333,42.24166667,55.39166667,52.04166667,58.275,56.19166667,52.35,39.275,45.16666667,48.51666667,43.43333333,49.89166667,50.88333333,43.96666667,40.125,28.93333333,60.60833333,38.4,57.48333333,40.49166667
Chivenor,-4.14743,51.08865,6,74.56666667,74.93333333,72.49166667,76.7,76.21666667,76.41666667,68.55833333,71.83333333,57.73333333,93.80833333,84.24166667,79.475,80.88333333,69.40833333,73.19166667,71.94166667,76.98333333,67.325,80.29166667,71.9,77.06666667,71.19166667,71.88333333,86.96666667,89.7,71.59708706,62.78333333,68.96666667,84.28333333,85.3,114.4666667,64.95,79.26666667,59.61666667,72.60833333,71.375,61.875,77.19166667,81.20833333,88.38333333,65.31666667,71.68333333,105.8333333,75.80833333,83,83.9,72.96666667,78.06666667,69.11666667,92.35,90.16666667
Durham,-1.58455,54.76786,102,67.88333333,63.75,59.93333333,61.93333333,63.20833333,46.90833333,45.09166667,45.94166667,41.95,49.08333333,45.51666667,56.9,49.51666667,62.325,65.25833333,67.39166667,57.775,48.75833333,56.28333333,51.28333333,53.825,59.10833333,60.825,53.55833333,34.65833333,49.8,44.4,53.4,62.475,50.96666667,50.45833333,43.35,53.46666667,68.16666667,52.05,74.01666667,53.14166667,61.28333333,40.55,57.575,51.575,51.99166667,52.01666667,68.10833333,61.91666667,60.9,47.18333333,84.83333333,61.85833333,54.81666667,60.35
Eastbourne,0.28543,50.76167,7,72.26666667,77.125,73.93333333,60.94166667,63.825,75.46666667,57.51666667,49.41666667,46.475,85.25,68.15833333,59.25833333,57.7,55.65,68.65,79.36666667,72.14166667,71.15833333,60.425,75.65833333,54.13333333,67.71666667,75.75,63.525,55.43333333,58.325,65.19166667,67.65,73.65,81.275,54.28333333,53.51666667,68.40833333,71.65833333,68.31666667,88.525,77.125,84.83333333,53.19166667,56.88333333,51.13333333,61.51666667,60.825,62.95,71.86666667,59.71666667,52.44166667,79.35833333,69.80833333,82.70833333,71.40833333
Eskdalemuir,-3.206,55.311,242,127.0416667,128.85,139.7583333,114.7,94.79166667,120.0166667,99.66666667,118.15,85.675,129.1833333,111.4416667,108.1666667,141.0416667,119.7916667,137.3166667,135.575,136.4833333,158.9,130.0416667,117.55,156.1,163.5,127.0583333,145.525,130.9,164.6,137.2583333,163.15,139.15,153.0416667,131.8833333,128.7916667,141.9166667,163.3166667,152.0333333,157.2083333,111.6166667,173.2833333,109.225,161.225,145.4833333,151.975,138.8166667,174.0083333,181.575,106.85,190.8,166.2666667,149.6,166.9083333,204.3083333
Heathrow,-0.44904,51.47872,25,55.90833333,63.43333333,58.2,62.94166667,46.98333333,54.7,51.54166667,37.01666667,40.44166667,60.79166667,48.81666667,38.1,53.24166667,48.76666667,57.04166667,49.00833333,56.63333333,54.15,44.58333333,53.475,43.85833333,53.08333333,54.5,46.00833333,44.475,35.45,44.43333333,54.11666667,51.15833333,52.56666667,44.93333333,35.05833333,37.05833333,57.09166667,55.175,68.36666667,58.775,65.55833333,39.625,51.55,37.5,53,56.74166667,54.71666667,56.9,43.45,42.43333333,58.95,46.675,72,46.83333333
