East Anglia,England E & NE,England NW & N Wales,England SE & Central South,S Wales & England SW,Midlands,Scotland E,Scotland W,Scotland N,N Ireland
44.1,43.7,108.5,67.7,105.9,61.1,131.3,207.4,157.6,66
47,56,82.7,59,59.5,57,84.6,93.6,106.9,25.7
85.2,91.2,161.5,103.2,150.4,103.7,138.5,159.2,143.2,52.6
55.2,48,88.5,90.7,82.9,59.2,66.5,99.2,107.1,34.6
17,9.6,4.6,21.5,9.8,14.6,20.5,7.3,20.2,10.9
58.7,71.1,133.2,39.9,81.4,60.1,77.8,113.9,76.6,43.4
46.5,82.1,153.7,65.1,95.5,69.6,147,212.9,107.8,138.9
29.6,45.5,86.7,64.4,44.8,44,69.7,121.4,81.2,34.6
82.6,71.2,130,94.8,110.6,63.6,143.9,179.4,152.9,115.2
94,79.7,106.8,126.1,139.4,77.2,112.3,130.6,211.1,120.6
80.4,122.5,195.2,100,209.1,131.4,153.7,179.4,175.6,109.3
42.4,55.6,157.7,60.2,113.2,59.4,125.3,191.2,212.1,23.8
64.8,74.3,96.8,80,100.9,89.5,69.9,98.1,44.9,61.6
54.3,61.6,131.3,81.1,125.7,82.7,108.7,151.2,147.9,74.7
20.7,37.8,51.9,19.9,33.2,27.6,47.6,52.6,48.4,11.7
43.4,58.2,50.9,34.5,50,46.3,77.1,65.8,67,42.5
33.9,29.5,47.1,24.9,36.1,31.2,49,58.7,47.3,43.4
37,49.8,79.8,34.4,55.3,50.9,74,76.5,73.7,32.4
47,92.1,93.4,44.2,70.3,63,142.4,112.1,109.8,103.4
96.2,59.7,96.4,87.5,99.8,87.3,107.9,105.9,100.3,45.6
39.1,49.5,100.5,42.7,84.2,57.9,63.5,82.3,90.4,45.2
49,60.1,152.9,67.5,111.9,71.9,80.4,171.2,136.3,31.6
52.1,48.3,147.8,51.9,106.5,67.7,74,167.1,163,74
47.2,95.9,130.7,53.8,97.7,72.9,95.1,161.4,102.1,119.8
16.1,42.9,24.5,12.8,39.2,22,69.5,37.1,41.6,47.5
33.9,40.6,39.2,58.1,109.8,56.8,67.8,28.7,39.6,73.1
30.9,49.6,73.6,37.6,62.6,41.9,100.1,113.2,104.9,77.1
31.8,46.9,78.9,22.7,62.7,46.7,64.4,64.3,82.8,59.4
22.8,75.3,86.6,28.6,86.3,65.7,83.6,51.2,57.4,27.9
84.4,85.1,150.7,91.8,114.3,90.4,162,160.5,147.9,71.1
47.9,72.1,109.4,44,61.4,65.3,83.9,142.3,119.4,100.5
41.1,73.8,166,37.9,74.5,63.5,106,141,140.3,70.7
55.6,67.5,52.9,85.9,53.9,59.2,108.8,101.3,91.4,80.7
47.9,65.2,168.7,68.5,115.5,70.2,87.2,141,114.4,28.4
69.1,67.6,144.5,122.8,213.3,94.2,118.7,108.8,126.8,119.5
34.2,28.4,78,69,102.5,38.9,66.4,107.2,135,67.6
38.2,42.9,101.2,48.6,85,45.3,85.6,110.6,138.4,30.3
43.1,37.8,94,53.5,76.6,47.4,67.5,113.7,91.9,31.7
46.2,76.4,106.2,51.4,82.2,58.6,97.7,127.8,112.1,58.5
27.2,20.6,37.7,37.5,60.5,37.3,26.7,47.1,44,36.9
29.1,17,20.5,25.2,38.2,19.8,49.8,53.6,66.2,27.1
70.9,110.9,93.8,65,139,121.3,87.7,78.1,55.5,92.4
78.9,114,186.5,104.8,186.1,127.9,94.1,113.5,64,98.4
66.4,81.4,129.9,54,91,75.3,70.4,114,77.5,89.5
70.8,91.7,200.1,137.6,161.6,103.1,167.1,203.1,190.7,105.2
45.9,77.1,86.5,72.7,149.5,75.3,111.3,143.4,123.6,129.1
86.5,102.5,122.9,117.8,180.4,119.9,110.6,93.7,90.9,126.9
56,66.4,91.9,108.2,138.6,65.7,140,121.8,128,132.7
56.7,73.7,143.9,87,142.5,85.4,150,191.3,170.1,141.9
23.7,45.6,82.4,49.4,96.9,54.3,79.9,94.7,62.1,90.9
12.7,15.4,11.8,7.6,4.2,6.7,25.7,13.9,28.5,15.8
6,15.4,29.8,5,29.3,19.1,12.8,25.6,53.6,20.9
64,79,90,53.2,71.5,75.4,96.2,93.3,121.5,78.9
36.7,52.3,107,34,52.9,49.8,82.7,112.4,93.8,56.8
52.9,92.8,157.9,59.9,77.2,74.5,97,132.8,82.4,87.8
32,58.5,139.8,50,70.4,63.6,72.3,128,85.5,84.5
61.1,78.6,133.9,82.7,89.1,71,110.7,162.4,171.9,89.6
41.6,47,71.8,38.9,58.9,36,93.5,61,137.6,52
69.5,93.4,155.4,121.7,212.6,120.9,106.5,109.2,115.3,133.8
10.6,25.4,22.1,12.7,24.9,16,49.1,70.6,89,110.9
52.3,55.6,86,78.7,95.9,60.3,80.5,93.6,115.8,73.8
29.3,42.4,67,44.4,74.9,37.4,75.3,104.9,49.2,70.5
33.7,44,100.2,48.9,103.8,49.2,60.3,116,85.4,110.5
36.2,37.4,66.2,47.8,70.3,42.6,45.8,87.6,80.2,47.7
43.2,57.3,98.4,64.2,88.6,64.2,54.9,85.7,80.2,53.5
60.7,60.8,84.1,55.6,74.8,75.5,56.9,79.8,65.8,98.3
94.8,89.9,133,63.3,78,78.8,98.7,97.7,99.2,84.1
75,82.3,162,78.4,127,96,144.8,167.1,150.8,63.4
85.9,82.9,138.5,130.5,202.8,114.4,106,119.2,99.4,76.9
123.3,131.1,182.2,159.8,158.4,108.9,172,178,181.8,105
75.4,74.6,122.3,114.2,190.4,91.4,86.1,105.5,106.2,97.7
57.7,62.6,175.7,73.1,160.9,76.9,108.7,179.2,204.1,105.1
33.5,65.1,86.3,43.3,110.9,51.3,87.3,113.9,81.3,115.7
28.8,31.1,56.2,52.9,76.7,35.4,76,129.5,115.3,81.7
60.7,62.9,132.1,61.7,121,79.1,116.6,174.6,172.7,112
20.2,14.9,12.3,8.8,12.9,15.9,5.6,6.2,7.4,5.5
43.2,57.8,78.3,42.8,64.8,62.2,65.7,83,66.8,113.8
45.9,41.3,86,33.6,66.5,56,62.7,84.7,96.6,44
70,76.9,117.1,40.9,73.2,74.9,70.6,93.6,71.3,105.9
37.1,41.3,56.2,62.6,72.2,47.3,58.7,80.8,104.5,82.1
100.1,72.9,70.5,91,96.2,76.7,85.8,72.9,122.2,119
44.2,39.4,73.2,41.5,66.2,35.1,66.9,56.6,136.7,71.6
93.3,83.4,171.6,143.8,267.3,132.5,113.5,91.4,113.6,165.1
21.6,23.8,96,40.8,96.5,38.1,108.7,206.9,186.4,66.2
32.9,38.3,119.8,54.9,123.3,59.3,118.6,176.1,214.6,74.8
58.3,71.6,41.9,58.8,81.7,66.2,52.2,43.5,33.6,75.7
